Context,Class,Termination,EdgeShape,Length,CortexPerc,Thickness,Width,CortexLoc,ScarNumber,Profile,CrossSection,PlatformType,DorsalPattern
VB B,Flake,Feathered,Divergent,34.57,25-75%,9.48,20.08,Lateral,2,Straight,Triangular,Cortical,Centripetal
VB A,Flake,Hinged,Irregular,50.61,25-75%,11.61,31.72,Distal,3,Straight,Triangular,Cortical,Centripetal
PAP 4'75-5'25,Flake,Feathered,Other,24.94,25-75%,7.35,26.3,Mesial,3,Straight,Triangular,Other,Centripetal
PAP 4'00-4'75,Flake,Feathered,Biconvex,23.44,25-75%,6.41,24.01,Mesial,3,Curved,Triangular,Other,Centripetal
VB B,Flake,Feathered,Divergent,32.04,25-75%,8.85,32.98,Lateral,2,Curved,Triangular,Plain,Centripetal
VB A,Flake,Feathered,Divergent,47.15,25-75%,11.98,26.89,Mesial,3,Curved,Trapezoidal,Plain,Centripetal
PAP 5'25-6'25,Flake,Hinged,Divergent,27.15,25-75%,6,27.06,Lateral,3,Straight,Triangular,Plain,Centripetal
PAP 4'00-4'75,Flake,Feathered,Irregular,19.71,25-75%,5.77,25.04,Distal,3,Straight,Triangular,Plain,Centripetal
PAP 4'00-4'75,Flake,Feathered,Divergent,28.71,25-75%,9.07,35.49,Lateral/Mesial,5,Straight,Irregular,Plain,Centripetal
PAP 4'00-4'75,Flake,Feathered,Irregular,20.02,75-95%,5.94,15.84,Proximal,3,Straight,Triangular,Faceted,Centripetal
VALM,Flake,Feathered,Irregular,31.99,25-75%,5.3,23.98,Lateral/Proximal,3,Curved,Irregular,Faceted,Centripetal
PAP 5'25-6'25,Flake,Feathered,Other,30.03,25-75%,6.67,31.4,Lateral,3,Straight,Triangular,Faceted,Centripetal
VALM,Flake,Feathered,Irregular,23.28,75-95%,6.84,25.51,Mesial,5,Irregular,Irregular,Other,Centripetal
PAP 4'00-4'75,Flake,Feathered,Biconvex,23.89,25-75%,2.64,19.44,Lateral,3,Straight,Trapezoidal,Other,Centripetal
VALM,Flake,Feathered,Divergent,27.68,25-75%,8.62,35.64,Lateral/Distal,4,Curved,Trapezoidal,Other,Centripetal
PAP 5'25-6'25,Flake,Hinged,Biconvex,32.29,100%,9.84,30.37,NA,0,Irregular,Lenticular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,19.31,100%,5.19,15.34,NA,0,Straight,Triangular,Cortical,Unidirectional
AMB II,Flake,Feathered,Parallel,26.34,75-95%,4.18,17.1,Lateral,1,Curved,Triangular,Cortical,Unidirectional
AMB II,Flake,Feathered,Irregular,37.19,>95%,3.91,45.37,Lateral,1,Straight,Irregular,Cortical,Unidirectional
AMB II,Flake,Feathered,Parallel,36.65,75-95%,8.24,21.66,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Irregular,16.92,>95%,3.73,12.76,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,58.42,75-95%,20.71,65.8,Distal,1,Irregular,Irregular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,21.29,75-95%,4.83,14.6,NA,1,Twisted,Irregular,Cortical,Unidirectional
VB A,Flake,Feathered,Irregular,26.61,75-95%,6.36,26.71,NA,1,Straight,Irregular,Cortical,Unidirectional
VALM,Flake,Feathered,Divergent,27.88,75-95%,7.34,21.43,Lateral,1,Irregular,Triangular,Cortical,Unidirectional
VB C,Flake,Feathered,Divergent,38.66,75-95%,13.75,54.94,Lateral,1,Curved,Triangular,Cortical,Unidirectional
VB C,Flake,Feathered,Parallel,25.65,75-95%,6.99,19.69,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,36.97,75-95%,17.77,31.89,Lateral,1,Irregular,Irregular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,30.41,75-95%,8.34,19.93,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Other,29.38,75-95%,5.36,22.3,Lateral,1,Curved,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,25.42,75-95%,15.44,22.95,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Pointed,Other,22.94,75-95%,8.37,24.05,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,22.26,75-95%,8.19,27.56,Lateral,1,Straight,Triangular,Cortical,Unidirectional
AMB II,Flake,Feathered,Irregular,43.17,75-95%,12.37,23.27,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Biconvex,27.78,>95%,8.09,20.31,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Biconvex,43.21,75-95%,5.92,24.4,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Divergent,21.78,75-95%,6.41,35.65,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Biconvex,20.31,75-95%,3.7,14.36,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,22.28,75-95%,6.39,26.93,Lateral,1,Straight,Lenticular,Cortical,Unidirectional
AMB VI,Flake,Feathered,Irregular,45.98,75-95%,5.43,28.24,Distal,1,Irregular,Irregular,Cortical,Unidirectional
AMB IV,Flake,Feathered,Irregular,69.72,75-95%,9.37,43.53,Distal,1,Curved,Irregular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,31.49,75-95%,7.49,22.01,Distal,1,Curved,Lenticular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Parallel,25.63,>95%,6.29,16.79,Distal,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,51.13,>95%,7.16,54.58,Distal,1,Irregular,Irregular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,38.49,75-95%,7.56,26.32,Distal,1,Straight,Triangular,Cortical,Unidirectional
VALM,Flake,Feathered,Parallel,47.18,75-95%,11.57,27.07,NA,1,Straight,Triangular,Cortical,Unidirectional
VALM,Flake,Feathered,Irregular,41.22,75-95%,8.53,25.25,NA,1,Twisted,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,39.68,75-95%,10.04,25.03,NA,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Biconvex,34.67,>95%,19.26,62.67,NA,1,Curved,Lenticular,Cortical,Unidirectional
VB B,Flake,Feathered,Divergent,13.37,75-95%,7.15,20.98,Proximal,1,Straight,Irregular,Cortical,Unidirectional
VB A,Flake,Feathered,Irregular,15.93,75-95%,4.19,14.52,Proximal,1,Curved,Irregular,Cortical,Unidirectional
AMB IV,Flake,Feathered,Other,53.05,75-95%,7.36,42.38,Proximal,1,Curved,Lenticular,Cortical,Unidirectional
AMB IV,Flake,Feathered,Irregular,26.86,>95%,3.7,21.33,Proximal,1,Straight,Irregular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,24.15,75-95%,3.68,12.58,Proximal,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,38.15,>95%,5.17,22.61,Lateral/Proximal,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Biconvex,19.71,75-95%,5.55,17.24,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB A,Flake,Feathered,Divergent,32.51,75-95%,7.94,45.89,Lateral,2,Straight,Lenticular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,26.36,75-95%,11.63,35.35,Lateral,2,Irregular,Irregular,Cortical,Unidirectional
AMB VI,Flake,Feathered,Divergent,46.58,75-95%,14.8,45.26,Distal,2,Curved,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Divergent,17.68,75-95%,5.04,20.04,Proximal,2,Straight,Lenticular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Other,14.63,>95%,11.13,32.8,Proximal,3,Straight,Other,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,32.49,75-95%,6.99,29.41,Mesial,3,Straight,Trapezoidal,Cortical,Unidirectional
VB C,Flake,Feathered,Irregular,29.58,75-95%,7.67,25.31,Proximal,3,Straight,Triangular,Cortical,Unidirectional
AMB IV,Flake,Feathered,Irregular,73.99,75-95%,10.1,32.76,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Biconvex,24.89,75-95%,5.19,12.29,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Divergent,33.89,25-75%,10.76,66.32,Proximal,1,Straight,Irregular,Cortical,Unidirectional
AMB VI,Flake,Feathered,Divergent,48.97,25-75%,7.37,26.68,Proximal,1,Curved,Other,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,24.32,25-75%,3.47,18.51,Proximal,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,18.46,25-75%,6.22,28.49,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,23.67,25-75%,8.36,34.39,Lateral,1,Straight,Irregular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,22.68,25-75%,6,19.33,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,15.19,25-75%,5.88,24.68,Distal,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Other,23.12,25-75%,4.61,27.29,Lateral/Distal,1,Curved,Lenticular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,12.25,25-75%,2.09,14.93,Lateral/Distal,1,Curved,Lenticular,Cortical,Unidirectional
VALM,Flake,Feathered,Parallel,44.23,25-75%,10.12,33.23,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VALM,Flake,Feathered,Irregular,30.23,25-75%,10.07,42.11,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB C,Flake,Feathered,Irregular,17.17,25-75%,4.24,15.73,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,46.15,25-75%,9.04,50.28,Lateral,1,Twisted,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,33.53,25-75%,11.66,24.89,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,31.76,25-75%,7.05,23.13,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,30.67,25-75%,13.21,19.9,Lateral,1,Irregular,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,30.02,25-75%,7.01,17.78,Lateral,1,Curved,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Other,25.81,25-75%,11.28,27.23,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Divergent,20.76,25-75%,15.66,23.45,Lateral,1,Irregular,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Other,18.92,25-75%,7.98,25.75,Lateral,1,Irregular,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,18.25,25-75%,4.45,23.64,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,14.27,25-75%,4.04,11.55,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB A,Flake,Feathered,Irregular,36.78,25-75%,14.19,38.37,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB A,Flake,Pointed,Irregular,28.33,25-75%,5.09,21.02,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB A,Flake,Hinged,Divergent,24.04,25-75%,5.23,25.46,Lateral,1,Straight,Lenticular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,33.85,25-75%,8.61,19.06,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,28.87,25-75%,6.91,20.27,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,27.33,25-75%,5.78,17.86,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,32.93,25-75%,7.95,18.3,Lateral,1,Irregular,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,25.51,25-75%,6.33,19.61,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,24.58,25-75%,7.33,21.4,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,22.59,25-75%,4.86,18.78,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,19.85,25-75%,4.09,16.09,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,17.78,25-75%,5.48,15.48,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Other,18.22,25-75%,2.85,10.84,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Parallel,17.63,25-75%,4.31,10.65,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Other,16.92,25-75%,6.67,20.69,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,39.36,25-75%,6.75,46.66,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,17.38,25-75%,3.37,14.13,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB C,Flake,Feathered,Irregular,38.67,25-75%,11.68,30.31,Distal,1,Straight,Trapezoidal,Cortical,Unidirectional
AMB II,Flake,Feathered,Divergent,36.65,25-75%,7.08,55.33,Distal,1,Curved,Irregular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,23.32,25-75%,4.16,24.76,Distal,1,Straight,Irregular,Cortical,Unidirectional
VB C,Flake,Feathered,Biconvex,27.52,25-75%,7.16,21.07,Proximal,1,Straight,Triangular,Cortical,Unidirectional
VB C,Flake,Feathered,Irregular,14.06,25-75%,4.95,28.19,Proximal,1,Curved,Irregular,Cortical,Unidirectional
VB B,Flake,Feathered,Other,20.25,25-75%,4.05,14.48,Proximal,1,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,20.66,25-75%,4.42,16.86,Proximal,1,Straight,Triangular,Cortical,Unidirectional
VB C,Flake,Feathered,Divergent,14.78,25-75%,6.81,23.33,Lateral/Proximal,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,28.12,25-75%,5.34,23.39,Lateral/Distal,1,Curved,Irregular,Cortical,Unidirectional
AMB II,Flake,Feathered,Irregular,27.11,25-75%,3.39,17.86,Lateral,1,Curved,Triangular,Cortical,Unidirectional
PAP 4'75-5'25,Flake,Feathered,Parallel,30.11,25-75%,12.28,16.96,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,48.7,25-75%,5.67,29.05,Lateral,1,Straight,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Other,29.02,25-75%,6.88,19,Lateral,1,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,18.99,25-75%,1.04,24.24,Distal,1,Straight,Irregular,Cortical,Unidirectional
AMB II,Flake,Feathered,Parallel,39.83,25-75%,3.85,25.1,Proximal,2,Twisted,Triangular,Cortical,Unidirectional
AMB II,Flake,Feathered,Irregular,39.54,25-75%,3.52,38.07,Lateral,2,Curved,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,25.61,25-75%,4.05,30.27,Lateral,2,Curved,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Parallel,29.89,25-75%,9.46,23.96,Lateral,2,Straight,Triangular,Cortical,Unidirectional
PAP 4'00-4'75,Flake,Feathered,Other,29.1,25-75%,6.35,23.68,Lateral,2,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,20.14,25-75%,2.91,23.93,Lateral/Proximal,2,Straight,Trapezoidal,Cortical,Unidirectional
AMB VI,Flake,Feathered,Biconvex,41.96,25-75%,11.94,21.46,Lateral/Distal,2,Straight,Triangular,Cortical,Unidirectional
AMB VI,Flake,Feathered,Divergent,28.2,25-75%,6.82,21.84,Lateral/Distal,2,Straight,Trapezoidal,Cortical,Unidirectional
VALM,Flake,Feathered,Irregular,68.61,25-75%,18.22,49.64,Lateral,2,Straight,Triangular,Cortical,Unidirectional
VALM,Flake,Feathered,Parallel,59.59,25-75%,20.45,42.22,Lateral,2,Irregular,Triangular,Cortical,Unidirectional
VALM,Flake,Feathered,Divergent,22.7,25-75%,7.27,18.54,Lateral,2,Straight,Triangular,Cortical,Unidirectional
VALM,Flake,Feathered,Irregular,20.86,25-75%,5.5,32.09,Lateral,2,Irregular,Irregular,Cortical,Unidirectional
VB B,Flake,Feathered,Other,41.54,25-75%,11.2,37.85,Lateral,2,Irregular,Triangular,Cortical,Unidirectional
VB B,Flake,Feathered,Parallel,35.24,25-75%,13.56,27.51,Lateral,2,Straight,Trapezoidal,Cortical,Unidirectional
VB B,Flake,Feathered,Irregular,26.88,25-75%,9.33,21.11,Lateral,2,Straight,Triangular,Cortical,Unidirectional
VB B,Flake,Pointed,Other,22.91,25-75%,3.6,14.08,Lateral,2,Straight,Triangular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,37.39,25-75%,7.39,28.88,Lateral,2,Irregular,Irregular,Cortical,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Other,23.55,25-75%,5.81,18.33,Lateral,2,Straight,Triangular,Cortical,Unidirectional
