Context,ScarLength,Length,CortexPerc,Thickness,Width,CortexLoc,CoreType,ScarNumber,Weight,PlatformType,Platforms,BlankType,CoreSection
VB B,31.27,31.5,25-75%,15.26,51.72,,Simple,2,34,Cortical,1 Platform,Flakes,Irregular
VB B,19.04,24.8,25-75%,10.6,37.19,,Simple,3,10,Cortical,1 Platform,Flakes,Quadrangular
VALM,23.36,28.01,25-75%,35.47,38.44,,Simple,4,50,Cortical,1 Platform,Flakes,Irregular
VB C,15.15,22.93,25-75%,19.47,30.85,,Simple,1,18,Cortical,1 Platform,Flakes,Irregular
VB C,12.54,17.74,<25%,34.26,37.73,,Simple,2,25,Dihedral,1 Platform,Flakes,Irregular
VB B,18.5,27.99,<25%,17.45,30.15,,Simple,2,17,Dihedral,1 Platform,Flakes,Irregular
VB B,33.59,33.46,<25%,12.82,22.45,,Simple,4,12,Dihedral,1 Platform,Mixed,Irregular
VB B,10.44,12.19,0%,23.51,34.89,,Simple,2,8,Plain,1 Platform,Flakes,Quadrangular
VALM,25.34,28.49,25-75%,13.92,52.43,,Simple,3,19,Plain,1 Platform,Flakes,Irregular
AMB IV,12.02,17.86,0%,16.95,31.66,,Simple,2,10,Plain,1 Platform,Flakes,Irregular
VALM,20.04,23.75,<25%,11.65,41.83,,Simple,3,16,Plain,1 Platform,Flakes,Quadrangular
VB A,15.51,23.65,<25%,20.11,40.78,,Simple,2,18,Plain,1 Platform,Flakes,Irregular
VALM,17.48,19.13,<25%,16.41,29.88,,Simple,3,15,Plain,1 Platform,Flakes,Quadrangular
VALM,20.4,24.34,25-75%,14.31,37.84,,Simple,2,16,Plain,1 Platform,Flakes,Irregular
PAP 4'00-4'75,20.63,21.65,<25%,23.76,33.57,,Simple,4,17,Plain,1 Platform,Flakes,Irregular
VB B,11.92,17.37,<25%,12.66,26.04,,Simple,2,8,Plain,1 Platform,Flakes,Quadrangular
VB C,21.59,27.92,>75%,27.43,40.92,,Simple,1,39,Plain,1 Platform,Flakes,Circular
VB B,29.59,40.53,<25%,28.59,57.39,,Simple,2,80,Plain,1 Platform,Flakes,Triangular
PAP 4'75-5'25,9.53,14.06,25-75%,13.67,19.7,,Simple,2,4,Plain,1 Platform,Flakes,Irregular
VALM,17.6,29.62,25-75%,19.78,38.86,,Simple,2,22,Plain,1 Platform,Flakes,Irregular
VALM,27.52,33.7,25-75%,31.74,43.65,,Simple,2,68,Plain,1 Platform,Flakes,Irregular
PAP 5'25-6'25,20.67,25.4,25-75%,13.69,32.42,,Simple,3,11,Plain,1 Platform,Flakes,Irregular
VB A,32.52,32.35,25-75%,24.8,40.03,,Simple,2,41,Plain,1 Platform,Flakes,Irregular
VB B,10.02,30.39,25-75%,14.01,37.57,,Simple,2,13,Plain,1 Platform,Flakes,Triangular
PAP 5'25-6'25,17.69,33.37,25-75%,14.32,40.23,Distal,Simple,4,19,Plain,1 Platform,Flakes,Triangular
PAP 4'00-4'75,18.58,21.32,25-75%,17.39,24.91,,Simple,2,12,Plain,1 Platform,Flakes,Quadrangular
AMB VI,27.58,29.44,<25%,22.65,34.1,,Simple,2,29,Plain,1 Platform,Flakes,Irregular
VB A,22.88,23.82,<25%,25.03,27.38,,Simple,2,1,Plain,1 Platform,Flakes,Irregular
VB B,21.03,22.71,<25%,13.04,26.04,,Simple,3,9,Plain,1 Platform,Mixed,Irregular
VALM,34.8,35.84,<25%,18.63,40.04,,Simple,1,18,Plain,1 Platform,Flakes,Triangular
VB B,26.6,27.9,0%,16.76,30.62,,Simple,2,15,Plain,1 Platform,Flakes,Quadrangular
VALM,18.56,24.03,25-75%,18.09,25.72,,Simple,3,16,Plain,1 Platform,Flakes,Quadrangular
VALM,39.59,38.74,25-75%,23.72,41.32,,Simple,3,40,Plain,1 Platform,Mixed,Quadrangular
VB B,19.88,27.31,25-75%,32.63,29.11,,Simple,1,35,Plain,1 Platform,Flakes,Quadrangular
VB C,23.37,32.96,<25%,28.51,34.06,,Simple,3,35,Plain,1 Platform,Flakes,Irregular
VB B,28.09,28.28,25-75%,18.46,28.74,,Simple,3,16,Plain,1 Platform,Flakes,Irregular
PAP 4'00-4'75,20.14,35.08,25-75%,16.98,35.61,,Simple,1,20,Plain,1 Platform,Bladelets,Irregular
VB B,23.42,24.36,<25%,11.51,23.17,,Simple,2,8,Plain,1 Platform,Bladelets,Irregular
PAP 4'00-4'75,21.99,26.05,25-75%,11.43,24.72,,Simple,3,10,Plain,1 Platform,Bladelets,Quadrangular
VB A,17.64,30.43,25-75%,14.31,28.4,,Simple,3,12,Plain,1 Platform,Flakes,Quadrangular
PAP 5'25-6'25,21.9,24.82,25-75%,29.02,22.13,Distal,Simple,2,23,Plain,1 Platform,Flakes,Quadrangular
VB B,15.61,17.16,0%,20.05,14.92,,Simple,3,6,Plain,1 Platform,Bladelets,Triangular
PAP 4'75-5'25,22.14,28.95,25-75%,21.98,24.89,,Simple,1,20,Plain,1 Platform,Flakes,Circular
VB B,24.12,25.08,<25%,14.06,21.55,,Simple,1,9,Plain,1 Platform,Flakes,Quadrangular
VB C,24.24,36.38,>75%,11.01,30.86,,Simple,1,18,Plain,1 Platform,Flakes,Quadrangular
VB B,22.63,40.85,25-75%,24.95,34.6,,Simple,2,34,Plain,1 Platform,Flakes,Triangular
VB B,17.64,37.48,0%,17.82,31.56,,Simple,1,28,Plain,1 Platform,Flakes,Irregular
AMB II,41.77,43.24,<25%,19.41,35.91,,Simple,3,34,Plain,1 Platform,Flakes,Irregular
PAP 4'00-4'75,25.35,25.61,>75%,20.94,20.87,,Simple,1,14,Plain,1 Platform,Flakes,Quadrangular
PAP 5'25-6'25,28.85,34.79,25-75%,21.48,28.33,,Simple,4,25,Plain,1 Platform,Bladelets,Quadrangular
PAP 5'25-6'25,18.1,28.67,<25%,22.84,23.22,Distal,Simple,3,17,Plain,1 Platform,Flakes,Quadrangular
VB B,17.38,30.07,<25%,11.93,24.14,,Simple,5,8,Plain,1 Platform,Flakes,Quadrangular
VB B,38.96,38.97,25-75%,22.77,31.21,,Simple,2,25,Plain,1 Platform,Blades,Triangular
VB B,36.11,50.22,<25%,17.16,39.87,,Simple,3,33,Plain,1 Platform,Flakes,Triangular
VB B,15.31,35.3,25-75%,16.97,26.43,,Simple,1,13,Plain,1 Platform,Flakes,Quadrangular
VB C,40.05,39.89,25-75%,13.17,29.7,,Simple,4,20,Plain,1 Platform,Mixed,Quadrangular
VB C,28.66,34,0%,11.44,24.11,,Simple,2,12,Plain,1 Platform,Mixed,Irregular
PAP 4'00-4'75,28.8,32.86,25-75%,12.36,23.07,,Simple,2,10,Plain,1 Platform,Mixed,Triangular
PAP 4'75-5'25,27.17,28.64,0%,12.33,19.87,,Simple,1,8,Plain,1 Platform,Flakes,Irregular
VB B,23.5,32.54,0%,36.14,22.05,,Simple,2,34,Plain,1 Platform,Flakes,Quadrangular
VB B,25.89,31.63,25-75%,12.96,20.78,,Simple,1,10,Plain,1 Platform,Flakes,Irregular
PAP 4'00-4'75,19.03,21.44,0%,13.94,13.78,,Simple,3, ,Plain,1 Platform,Bladelets,Irregular
VALM,27.97,32.78,<25%,13.34,18.48,,Simple,2, ,Plain,1 Platform,Flakes,Irregular
VB B,20.09,20.09,0%,14.41,10.73,,Simple,1, ,Plain,1 Platform,Bladelets,Triangular
PAP 4'00-4'75,25.61,25.73,<25%,11.81,13.43,,Simple,1,7,Plain,1 Platform,Bladelets,Irregular
AMB IV,58.08,61.91,25-75%,35.78,23.42,,Simple,3,61,Plain,1 Platform,Blades,Irregular
PAP 4'00-4'75,21.53,29.67,25-75%,27.73,33.2,,Simple,1,37,Faceted,1 Platform,Flakes,Circular
PAP 4'75-5'25,18.29,20.1,<25%,21.36,13.46,,Simple,1,8,Faceted,1 Platform,Flakes,Quadrangular
PAP 4'00-4'75,21.74,24.74,0%,18.37,9.73,,Simple,1,7,Faceted,1 Platform,Bladelets,Triangular
VB B,16.35,25.15,<25%,12.67,26.75,,Simple,2,8,Other,1 Platform,Flakes,Irregular
VB B,31.8,33.58,25-75%,17.08,35.34,,Simple,2,24,Other,1 Platform,Flakes,Quadrangular
PAP 4'00-4'75,22.31,24.24,0%,14.12,24.41,,Simple,3,10,Other,1 Platform,Flakes,Irregular
VB B,16.39,24.23,25-75%,43.69,39.75,,Prismatic,4,49,Cortical,1 Platform,Mixed,Triangular
AMB IV,29.74,34.91,25-75%,39.86,21.86,,Prismatic,3,42,Cortical,1 Platform,Mixed,Triangular
PAP 4'00-4'75,23.06,30.35,<25%,17.95,22.22,,Prismatic,5,13,Crushed,1 Platform,Mixed,Irregular
VB C,27.43,27.02,<25%,17.82, ,,Prismatic,3,9,Plain,1 Platform,Flakes,Irregular
AMB VI, , ,<25%,39.08,71.87,,Prismatic,3, ,Plain,1 Platform,Flakes,Irregular
VB B,8.88,15.93,25-75%,22.86,34.33,,Prismatic,5,10,Plain,1 Platform,Flakes,Triangular
AMB II,16.22,15.48,25-75%,11.59,26.32,,Prismatic,6, ,Plain,1 Platform,Bladelets,Quadrangular
